complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1598942,Overview for Complaint #:1598942 = RESOLVED,123 WASHINGTON STREET,1088442,X X,05/03/2022 - A8 - ECB VIOLATION SERVED,"IN PRIVATELY OWNED PUBLIC SPACE - OBSERVED AN OPEN AIR CAFE IN USE BY ADJACENT RESTAURANT ""SKINOS"", WITH AN EXPIRED LETTER FROM THE CHAIRPERSON OF THE CPC. NO CURRENT CPC CERTIFICATION FOR OPEN AIR CAF .",2022-05-03,A8,ECB VIOLATION SERVED,2022
3841563,Overview for Complaint #:3841563 = RESOLVED,1 METRO TECH CENTER,3319418,FOREST CITY JAY STREET ASSOCIA,04/28/2022 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE MISSING A REQUIRED AND APPROVED AMENITIES, NO DRINKING FOUNTAIN OBSERVED ANYWHERE IN THE METROTECH PLAZA",2022-04-28,A8,ECB VIOLATION SERVED,2022
3841566,Overview for Complaint #:3841566 = RESOLVED,350 JAY STREET,3000259,MUSS & MUSS,04/28/2022 - A8 - ECB VIOLATION SERVED,PRIVATELY OWNED PUBLIC SPACE MISSING REQUIRED AMENITIES - NO PLAQUE OR SIGNAGE INDICATING PUBLIC SPACE OBSERVED ANYWHERE NEAR ANY OF THE ENTRANCES TO PLAZA,2022-04-28,A8,ECB VIOLATION SERVED,2022
1598129,Overview for Complaint #:1598129 = RESOLVED,1520 YORK AVENUE,1050869,80TH REALTY LLC,04/25/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED DESIGN CHANGES IN PRIVATELY OWNED PUBLIC SPACE NOT APPROVED BY THE CITY PLANNING COMMISSION. AT EAST 80TH ST SIDE OF PUBLIC PLAZA, THE ADJACENT GYM AND DAY CARE CENTER HAVE A COVERED OUTDOOR PLAY AREA AND CANOPY.",2022-04-25,A8,ECB VIOLATION SERVED,2022
1598136,Overview for Complaint #:1598136 = RESOLVED,77 WATER STREET,1000863,WATER STREET FEE LLC,04/25/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED MASONRY BENCHES AT SOUTHEAST SIDE OF PLAZA IN DISREPAIR, APPEARING TILTED AND DISPLACED, AND ONE SECTION TILTED AND NOT LEVEL.",2022-04-25,A8,ECB VIOLATION SERVED,2022
1597658,Overview for Complaint #:1597658 = RESOLVED,345 EAST 93 STREET,1050288,MILLROCK OWNERS CORP,04/19/2022 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE SUBSTANTIALLY IN COMPLIANCE.  HOWEVER, THE COVERED PLAZA ALONG 1ST AVENUE HAS SOME MINOR DEFECTS IN THE CEILING.",2022-04-19,A8,ECB VIOLATION SERVED,2022
1597657,Overview for Complaint #:1597657 = RESOLVED,301 EAST 94 STREET,1050324,THE MARMARA INC,04/19/2022 - A8 - ECB VIOLATION SERVED,"PRIVATELY OWNED PUBLIC SPACE MISSING SOME REQUIRED AMENTIES, NO DRINKING        FOUNTAIN AND MISSING TREES AT STREET.",2022-04-19,A8,ECB VIOLATION SERVED,2022
1597705,Overview for Complaint #:1597705 = RESOLVED,211 EAST 70 STREET,1043921,211 EAST 70TH STREETL.P.,04/19/2022 - A8 - ECB VIOLATION SERVED,EXCESSIVE PROHIBITIVE SIGNAGE OBSERVED IN PRIVATELY OWNED PUBLIC SPACE.,2022-04-19,A8,ECB VIOLATION SERVED,2022
1597435,Overview for Complaint #:1597435 = RESOLVED,330 EAST 39 STREET,1021923,330 EAST 39TH STREET LLC,04/15/2022 - A8 - ECB VIOLATION SERVED,"OBSERVED LACK OF MAINTENANCE IN PRIVATELY OWNED PUBLIC PLAZA. AT FRONT OF BUILDING MISSING ALL VEGETATION AND LANDSCAPING IN PLANTERS. ELEVATED PORTION OF POPS AT REAR, ABOVE GARAGE IS CLOSED OFF DUE TO DOB ISSUED PARTIAL VACATE.",2022-04-15,A8,ECB VIOLATION SERVED,2022
1597563,Overview for Complaint #:1597563 = RESOLVED,171 EAST 84 STREET,1047704,EVANS TOWER CONDOMINIUM,04/15/2022 - A8 - ECB VIOLATION SERVED,OBSERVED SOME MINOR DEFECTS IN BRICKWORK AROUND PRIVATELY OWNED PUBLIC PLAZA,2022-04-15,A8,ECB VIOLATION SERVED,2022
