complaint_number
1462915
1633608
1472559
1527139
1468464
1597705
1468466
1663081
1479819
1595322
1462899
1412707
1466424
1617465
1642111
1574338
1466425
1725087
1465303
3707837
3841566
1585609
1467076
1512305
1589058
1609624
1481946
1467085
1613423
1671621
1637919
1531283
1461698
1514070
1611383
1490324
1596357
1463408
1591720
1472500
1082227
1619862
1704284
1081999
1081998
1511146
1610311
1082008
1091170
1511131
1702498
1465309
3707836
1467086
1480158
1512259
1690644
1595188
1521937
1487615
1477177
1567505
1466429
1678923
1592241
1694065
1648884
1636270
1464296
1458524
1465706
1725121
1595099
1472482
1470561
1470557
1672850
1462894
1487619
1512301
1671630
1513473
1512250
1512316
1598136
1511150
1091312
1644393
1511137
1465311
1677390
1617665
1632641
1595608
1184371
1513151
1087676
1087675
1595190
1204370
1512327
1664626
1093265
1609797
1597007
1522842
1571218
1470555
1525331
1555776
1545864
1571476
1478493
1084785
1470551
1478091
1644970
1698179
1417961
1464297
1437134
1460552
1540730
1511171
1568064
1595189
1703238
1485772
1662500
1511140
1541182
1597658
1668374
1609802
1630227
1627160
1531282
1461699
1215380
1610065
1479626
1512321
1598348
1481941
1644617
1671577
1467075
1400820
1482114
1681932
1680804
1491752
1511139
1597435
1644756
1472495
1679951
1609799
1589181
1465704
1486314
1576526
1546974
1669700
1468927
1486229
1672951
1512288
1512304
1086113
1567746
1655954
1511177
1367486
1708464
1464295
1540739
1675311
1675122
1645019
1480157
1630229
1513911
1472501
1081802
1546181
1609934
1644394
1670986
1481181
1468920
1557183
1512249
1082233
1691465
1691464
1472486
1683458
1467078
1448061
1567956
1591717
1091309
1515302
1482205
1475008
1449232
1472562
1082001
1648863
1648439
1098489
1513466
1724719
1447135
1465586
1465315
1584139
1486615
1425225
1667251
1082005
1082232
1082230
1461705
1511175
1461654
1451473
1479818
1510446
1595776
1528645
1094297
1609617
1555594
1401282
1221186
1596837
1420154
1568055
1417483
1243044
1523609
1480153
1660997
1248371
1511154
1512281
1609940
1531274
1460551
1610860
1567765
1485527
1724921
1595777
1468914
1586174
1481343
1596140
1511149
1478589
1451475
1630785
1627974
1512284
1679519
1481948
1649980
1520482
1457462
1610588
1443534
1597009
1467080
1675129
1592820
1468912
1596137
1598129
1481947
1360517
1465025
1520996
1481347
1278175
1628640
1513980
1511181
1597560
1511153
1462914
1518928
1595317
1597242
1588828
1488032
1511168
1696053
1461707
1643765
1670982
1480155
1093301
1511170
1511179
1511136
1515420
1468459
1632379
1532578
1091306
1511128
1091313
1288894
1511166
1674887
1512319
1082009
1488863
1519040
1486777
1643369
1643371
1285702
1479816
1468916
1492841
1724909
1477165
1596488
1480154
1449812
1596134
1468462
1596187
1511133
1647047
1458291
1645022
1610873
1480160
1682109
1468457
1483459
1651271
1630060
1512335
1669463
1725403
1511152
1082011
1487618
1595093
1470556
1512268
1650246
1648487
1598942
1087741
1484135
1468461
1724410
1519805
1609626
1708462
1511145
1462910
1540731
1529338
1443879
1587300
1512286
1091310
1470554
1628635
1676077
1511162
1597565
1595323
1481944
1595192
1486283
1465308
1557185
1512340
1609937
1512291
1512339
1697783
1697455
1512266
1288920
1592818
1549363
1663163
1472502
1563560
1724808
1511180
1437133
1460553
1486825
1547092
1574422
1448682
1094298
1520598
1512342
1673135
1472563
1088875
1472492
1481182
1472499
1529521
1082226
1678415
1610858
1590238
1468911
1643764
1670985
1338116
1702396
1470553
1087745
1511155
1670299
1470550
1597563
1513461
1461697
1261773
1516619
1460550
1671615
1448683
1484094
3A20463
3703773
3961506
1465707
1481344
1699180
1481945
1464294
1352199
1511134
1511187
1597238
1462887
1495115
1568062
1290224
1288492
1451149
1347883
1470559
1500511
1470211
1531289
1462903
1550690
1528401
1512256
1725120
1668371
1421775
1596356
1699562
1511141
1597657
1511176
1512276
1609939
1091311
1515861
1594537
1470558
1680134
1670012
1594988
1495448
1480159
1568327
1349905
1468918
1651277
1551182
1578332
1480508
1630788
1566034
1676325
1511183
1609622
1676326
1082013
1490105
1677293
1515531
1570004
1484095
1596730
1512252
1506922
1553516
1646921
1577251
1512289
1467082
1549585
1644210
1643994
1671374
1592243
1461696
1515859
1481950
1560736
1643096
1643095
1467081
1593776
1463410
1704739
1641975
1670743
1629822
1676079
1512325
1511156
1481949
1460549
1352683
1448684
1507246
1445652
1463409
1672902
1540733
1529909
1486282
1456827
1707664
1511172
1594984
1462901
1513903
1673067
1466426
1592240
1436506
1487555
3979915
3654071
3841563
1467805
1436878
1460548
1448521
1594811
1645368
1472496
4776093
1610063
1665083
1538249
4940160
4937516
4912408
1610283
1513465
4819259
4912409
1626530
1672813
3939566
3A27969
3918419
3796731
3A01737
3826753
